专业名称,专业简介
计算机科学与技术,研究计算机软硬件、算法等，培养计算机系统设计、开发和应用能力，适用于IT行业及科研领域。
软件工程,聚焦软件研发全流程，涵盖设计、测试、维护等，培养软件开发与项目管理人才，服务于各类软件企业。
金融学,研究资金融通、投资等，涉及银行、证券等领域，培养金融分析、风险管理等能力，面向金融机构。
临床医学,培养临床诊疗能力，学习疾病诊断与治疗，对接医院各科室，从事临床医疗、科研等工作。
数学与应用数学,基础数学与应用结合，培养数学建模和分析能力，应用于科研、教育、数据分析等领域。
法学,学习法律理论与实务，涵盖民法、刑法等，培养法律分析与辩护能力，面向司法、律师等行业。
哲学,探究世界观、方法论，涉及伦理、逻辑等，培养批判性思维，适用于教育、科研、文化等领域。
保险学,研究保险理论与实务，包括险种设计、理赔等，培养保险规划能力，服务于保险公司、金融机构。
国际经济与贸易,涉及跨国贸易规则、结算等，培养国际贸易操作与分析能力，面向外贸企业、跨国公司。
经济学,研究资源配置、经济运行规律，培养经济分析能力，适用于政府部门、金融机构、企业等。
税收学,聚焦税收政策与征管，学习税法及税务筹划，培养税务处理能力，面向税务机关、企业财税岗。
投资学,研究投资理论与实践，涵盖股票、债券等，培养投资分析与管理能力，服务于金融投资领域。
知识产权,涉及专利、商标等法律保护，培养知识产权管理与维权能力，面向律所、企业知识产权部门。
特殊教育,针对特殊儿童教育，学习康复训练等方法，培养特殊教育教学能力，适用于特殊教育学校。
学前教育,专注幼儿教育，学习幼儿心理、教学法等，培养幼儿教师，服务于幼儿园及早教机构。
中国语言文学类,涵盖汉语、文学等，学习语言研究与文学赏析，培养文字处理能力，面向教育、编辑等行业。
英语,培养英语听、说、读、写能力，涉及文学、翻译等，适用于外贸、教育、翻译等领域。
小语种,如日语、法语等，学习语言及文化，培养小语种翻译与跨文化交际能力，服务于涉外领域。
新闻学,研究新闻采、写、编、评，培养新闻报道能力，面向报社、电视台、新媒体等新闻机构。
编辑出版学,聚焦出版物策划、编辑等，学习校对、排版等技能，培养编辑出版人才，服务于出版社、传媒业。
传播学,研究信息传播规律，涉及人际、大众传播等，培养传播策划能力，适用于传媒、广告等行业。
历史学,探究人类历史发展，涵盖政治、经济等方面，培养历史研究与教学能力，面向教育、文博领域。
文物与博物馆学,学习文物保护、博物馆管理，培养文物鉴定、展览策划能力，服务于博物馆、考古机构。
数学,基础数学理论研究，包括代数、几何等，培养数学思维与科研能力，适用于科研、教育领域。
生物科学,研究生命现象与规律，涉及细胞、遗传等，培养生物研究能力，面向科研院所、生物企业。
物理学,探索物质运动规律，涵盖力学、电磁学等，培养物理实验与理论分析能力，用于科研、教育等。
海洋科学,研究海洋物理、生物等，涉及海洋资源开发，培养海洋调查与研究能力，服务于海洋相关机构。
天文学,探索天体运行规律，学习观测与数据分析，培养天文研究能力，面向天文台、科研院所。
地质学,研究地球结构、矿产等，涉及地质勘探，培养地质调查能力，服务于地质勘探、矿业等行业。
应用化学,化学理论应用于实际，涵盖材料、环境等领域，培养化学分析与研发能力，面向化工企业。
化学,研究物质组成与变化，含无机、有机化学等，培养化学实验与科研能力，适用于科研、教育等。
地理信息科学,结合地理与信息技术，处理地理数据，培养GIS开发与应用能力，用于测绘、城市规划等。
统计学,收集、分析数据，学习统计模型，培养数据处理能力，应用于金融、市场调研等领域。
地理科学,研究地球表层环境，涉及自然、人文地理，培养地理教学与研究能力，面向教育、科研机构。
心理学,研究心理现象与规律，涵盖临床、发展心理等，培养心理咨询与分析能力，服务于教育、医疗等。
车辆工程,专注汽车等车辆设计、制造，涉及动力、底盘等，培养车辆研发能力，面向汽车企业。
自动化,研究自动控制技术，涵盖机器人、工业控制等，培养自动化系统设计能力，应用于工业等领域。
物联网工程,连接物物信息，学习传感器、网络技术，培养物联网系统开发能力，服务于智能家居等行业。
纳米材料与技术,研究纳米材料制备与应用，涉及材料、化工等，培养纳米材料研发能力，面向新材料企业。
通信工程,研究通信系统与技术，涵盖光纤、无线通信等，培养通信设备研发能力，服务于通信行业。
计算机类,涵盖计算机相关子领域，培养计算机综合应用能力，适应IT行业多岗位需求，如开发、运维等。
土木工程,从事建筑、桥梁等工程设计施工，学习结构力学等，培养土木工程建设能力，面向建筑行业。
材料科学与工程,研究材料结构与性能，涉及金属、高分子材料等，培养材料研发能力，服务于材料企业。
机械设计制造及其自动化,专注机械产品设计与制造，涵盖机械原理等，培养机械研发能力，面向机械制造企业。
航空航天类,研究飞行器设计、制造，涉及航空航天器，培养相关研发能力，服务于航空航天企业。
